screen_id,screen_name,image_uuid_1,image_uuid_2,image_uuid_3,image_uuid_4
a43f83f6-9dfa-4297-9434-a5430831dc2c,"Shri Krishna Nandagokula - Kasturi Nagar",,,,
a38afc75-c338-4498-8f19-9c91b79f8e90,"Sri Ganesh Grand - Doddaballapura",,,,
6e9d3a14-c18d-4693-9f8d-e9a82aa6d559,"Sri Krishna Nalapaka - HSR Layout",,,,
966ab7c1-3d37-492d-9400-2bf204389ddb,"Sri Mandarthi Vaibhava",,,,
67ba9834-8f14-468d-a694-6fc344d60cd7,"Sri Manjunatha Grand Veg - Nagavara",,,,
02ff7668-2125-4227-9eb5-8f83e9d5088a,"Sri Udupi Food Hub - Commercial Street",,,,
2db7cd33-bf89-4fe0-bd18-221107d35fe4,"Sri Udupi Food Hub - Indiranagar",,,,
e85d90d0-435e-419d-9d46-ed3a1b4be771,"Sri Udupi Food Hub - Koramangala",,,,
710a4024-f5ec-4dea-9408-287049466272,"Sri Udupi Food Hub - Tilaknagar",,,,
1367b1cf-82e2-4ac1-8a2e-c26279427f0a,"Sri Udupi Food Hub - Whitefield",,,,
d412c53c-7619-4313-bdde-ae342f0f5ae5,"Sri Udupi Food Hub 3rd block - Jayanagar",,,,
01fa6adf-cd46-4d59-8185-338fe720f91a,"Sri Udupi Food Hub Hopefarm - Whitefield",,,,
cf02bf83-d20f-419d-9ea1-a83a7163b5e3,"Sri Udupi Park - Brigade Road",,,,
5b6d7a71-7d4b-481f-a5af-f4f7c9350a05,"Sri Vishnu Brindavana - Kasavanahalli",,,,
a04980fc-4bbd-4858-8193-4a8753d20f72,"Sri Vishnu Grand - Bellandur",,,,
47f7029c-ffa3-4056-b6cb-a19f116bd8aa,"Sri Vishnu Park Restaurant - BTM Layout",,,,
83b82381-c667-4ade-ace3-c9df250efa57,"Srinidhi Upachar -Dodda Banaswadi",,,,
cecb0a52-997a-417e-a764-5006bdb2cdfa,"Srinidhi Veg Food Court - Kalyan Nagar",,,,
94982b35-67b3-454f-9082-42ac92ef0a37,"The Rasaganga - Bellandur",,,,
03923983-0666-46b3-9861-05345156ef01,"Top In Town Hyper Market - Whitefield",,,,
0a09d635-f4f8-40cc-8f4a-60baed4553f9,"Udupi Food Park - Singasandra",,,,
f0504368-baa3-4aea-bc14-0ec27b122811,"Udupi Garden Veg Restaurant - Bagalakunte",,,,
37c431b8-36ca-4e71-8628-248484c956ed,"Udupi Garden Veg Restaurant - Kothanur",,,,
1477b1ea-fe3f-4535-bece-8084d9f22b80,"Udupi Gardenia -Banjara Layout",,,,
eecdeea1-40dd-4b27-869a-fa42a31e2976,"Udupi Gardenia -Jayanti Nagar",,,,
5a7a7104-5510-44d6-a37d-249c8569a892,"Udupi Gardenia -Munireddy Layout",,,,
136c7c40-363c-471c-9baa-24c10415c499,"Udupi Krishna Dhama - Arehalli Guddadahalli",,,,
a20bf2ad-4bf1-471e-8708-a6490b6e78e1,"Udupi Mane Thindi",,,,
84791612-2c6b-4b11-8b98-b8fc2c72da01,"Udupi Palace",,,,
758bcbfa-48d4-4112-86ea-3e1556ca7882,"Udupi Swada - Kumaraswamy Layout",,,,
299561e7-ef43-4027-8088-e9937848bf3a,"Udupi Upachar - Hebbal",,,,
62fd900d-d2d0-4b7b-859c-77454140d5fa,"Udupi Vaibhav - Kothanur",,,,
f0ab89da-79cb-4c86-bb3a-68d3ec5c7df3,"Udupi Vaibhav Veg Restaurant - Tata nagar",,,,
732b0d94-751d-443a-92b6-c3239714f854,"WORLI DAIRY SEA-FACE",,,,
762b2f5f-0213-4484-a62c-4cacaa224343,"WORLI DAIRY SEA-FACE #2",,,,
